method,game,iter,reward
brute,airstriker,498,940
brute,airstriker,499,160
brute,airstriker,500,940
brute,airstriker,501,360
brute,airstriker,502,840
brute,airstriker,503,400
brute,airstriker,504,140
brute,airstriker,505,300
brute,airstriker,506,220
brute,airstriker,507,940
brute,airstriker,508,820
brute,airstriker,509,940
brute,airstriker,510,240
brute,airstriker,511,460
brute,airstriker,512,280
brute,airstriker,513,220
brute,airstriker,514,580
brute,airstriker,515,220
brute,airstriker,516,940
brute,airstriker,517,840
brute,airstriker,518,640
brute,airstriker,519,560
brute,airstriker,520,580
brute,airstriker,521,680
brute,airstriker,522,880
brute,airstriker,523,300
brute,airstriker,524,940
brute,airstriker,525,220
brute,airstriker,526,180
brute,airstriker,527,200
brute,airstriker,528,940
brute,airstriker,529,940
brute,airstriker,530,260
brute,airstriker,531,940
brute,airstriker,532,160
brute,airstriker,533,680
brute,airstriker,534,900
brute,airstriker,535,660
brute,airstriker,536,680
brute,airstriker,537,940
brute,airstriker,538,180
brute,airstriker,539,700
brute,airstriker,540,940
brute,airstriker,541,880
brute,airstriker,542,940
brute,airstriker,543,580
brute,airstriker,544,360
brute,airstriker,545,200
brute,airstriker,546,940
brute,airstriker,547,580
brute,airstriker,548,940
brute,airstriker,549,200
brute,airstriker,550,680
brute,airstriker,551,480
brute,airstriker,552,200
brute,airstriker,553,200
brute,airstriker,554,480
brute,airstriker,555,940
brute,airstriker,556,300
brute,airstriker,557,680
brute,airstriker,558,640
brute,airstriker,559,940
brute,airstriker,560,360
brute,airstriker,561,940
brute,airstriker,562,940
brute,airstriker,563,400
brute,airstriker,564,940
brute,airstriker,565,500
brute,airstriker,566,140
brute,airstriker,567,220
brute,airstriker,568,680
brute,airstriker,569,940
brute,airstriker,570,180
brute,airstriker,571,400
brute,airstriker,572,940
brute,airstriker,573,420
brute,airstriker,574,820
brute,airstriker,575,680
brute,airstriker,576,940
brute,airstriker,577,540
brute,airstriker,578,820
brute,airstriker,579,440
brute,airstriker,580,700
brute,airstriker,581,960
brute,airstriker,582,520
brute,airstriker,583,780
brute,airstriker,584,880
brute,airstriker,585,540
brute,airstriker,586,440
brute,airstriker,587,960
brute,airstriker,588,260
brute,airstriker,589,260
brute,airstriker,590,660
brute,airstriker,591,220
brute,airstriker,592,780
brute,airstriker,593,940
brute,airstriker,594,600
brute,airstriker,595,980
brute,airstriker,596,940
brute,airstriker,597,200
brute,airstriker,598,160
brute,airstriker,599,200
brute,airstriker,600,220
brute,airstriker,601,460
